year,trademark_class,trademark_filings,rank
2013,"Class 9: Scientific, nautical, surveying, photographic, cinematographic etc.",3907,1
2013,Class 35: Advertising; business management; business administration; office functions,3192,2
2013,Class 41: Education; providing of training; entertainment; sporting and cultural activities,2207,3
2013,"Class 3: Cleaning preparations, soaps, perfumery, essential oils, cosmetics etc.",2172,4
2013,Class 42: Scientific and technological services and research and design relating thereto etc.,2078,5
2013,"Class 25: Clothing, footwear, headgear",2032,6
2013,Class 5: Pharmaceutical and veterinary preparations etc.,1861,7
2013,"Class 30: Coffee, tea, cocoa, sugar, rice, tapioca, sago, powder; salt etc.",1464,8
2013,Class 43: Services for providing food and drink; temporary accommodation,1448,9
2013,"Class 16: Paper, cardboard etc.",1327,10
2013,Class 36: Insurance; financial affairs; monetary affairs; real estate affairs,1252,11
2013,Class 18: Leather and imitations of leather etc.,1062,12
2013,Class 7: Machines and machine tools etc.,962,13
2013,"Class 29: Meat, fish, poultry and game; meat extracts etc.",935,14
2013,"Class 11: Apparatus for lighting, heating, steam generating, cooking, etc.",858,15
2013,Class 14: Precious metals and their alloys etc.,811,16
2013,Class 38: Telecommunications,801,17
2013,Class 37: Building construction; repair; installation services,767,18
2013,Class 39: Transport; packaging and storage of goods; travel arrangement,700,19
2013,"Class 10: Surgical, medical, dental and veterinary apparatus and instruments, artificial limbs etc.",692,20
2013,"Class 12: Vehicles; apparatus for locomotion by land, air or water",691,21
2013,Class 32: Beers; mineral and aerated waters and other non-alcoholic drinks etc.,689,22
2013,Class 44: Medical services; veterinary services; hygienic and beauty care for human beings etc.,684,23
2013,Class 28: Games and playthings; gymnastic and sporting articles etc.,677,24
2013,Class 33: Alcoholic beverages (except beers) etc.,662,25
2013,Class 1: Chemicals used in industry etc.,632,26
2013,Class 6: Common metals and their alloys etc.,560,27
2013,"Class 20: Furniture, mirrors, picture frames etc.",548,28
2013,Class 21: Household or kitchen utensils and containers  etc.,544,29
2013,Class 45: Legal services; personal and social services rendered by others to meet the needs of individuals etc.,442,30
2013,"Class 24: Textiles and textile goods, not included in other classes; bed and table covers etc.",399,31
2013,"Class 17: Rubber, gutta-percha, gum, asbestos, mica etc.",328,32
2013,Class 19: Building materials (non-metallic); non-metallic rigid pipes for building etc.,305,33
2013,Class 40: Treatment of materials,289,34
2013,Class 34: Tobacco; smokers' articles; matches,281,35
2013,"Class 4: Industrial oils and greases, lubricants etc.",280,36
2013,"Class 31: Agricultural, horticultural and forestry products and grains for animals; malt etc.",259,37
2013,Class 8: Hand tools and implements (hand-operated); cutlery; side arms; razors,246,38
2013,"Class 2: Paints, varnishes, lacquers etc.",166,39
2013,"Class 26: Lace and embroidery, ribbons and braid; buttons, hooks and eyes etc.",143,40
2013,"Class 27: Carpets, rugs, mats and matting, linoleum etc.",109,41
2013,"Class 22: Ropes, string, nets, tents, awnings, tarpaulins, sails etc.",92,42
2013,Class 13: Firearms; ammunition and projectiles; explosives; fireworks,52,43
2013,Class 15: Musical instruments,36,44
2013,"Class 23: Yarns and threads, for textile use",29,45
2014,"Class 9: Scientific, nautical, surveying, photographic, cinematographic etc.",4031,1
2014,Class 35: Advertising; business management; business administration; office functions,3473,2
2014,Class 42: Scientific and technological services and research and design relating thereto etc.,2293,3
2014,Class 41: Education; providing of training; entertainment; sporting and cultural activities,2223,4
2014,Class 5: Pharmaceutical and veterinary preparations etc.,2176,5
2014,"Class 3: Cleaning preparations, soaps, perfumery, essential oils, cosmetics etc.",2131,6
2014,"Class 25: Clothing, footwear, headgear",1816,7
2014,Class 43: Services for providing food and drink; temporary accommodation,1599,8
2014,"Class 30: Coffee, tea, cocoa, sugar, rice, tapioca, sago, powder; salt etc.",1498,9
2014,"Class 16: Paper, cardboard etc.",1333,10
2014,Class 36: Insurance; financial affairs; monetary affairs; real estate affairs,1293,11
2014,"Class 29: Meat, fish, poultry and game; meat extracts etc.",1021,12
2014,Class 18: Leather and imitations of leather etc.,948,13
2014,Class 7: Machines and machine tools etc.,920,14
2014,Class 38: Telecommunications,859,15
2014,Class 14: Precious metals and their alloys etc.,825,16
2014,"Class 11: Apparatus for lighting, heating, steam generating, cooking, etc.",810,17
2014,Class 37: Building construction; repair; installation services,799,18
2014,Class 44: Medical services; veterinary services; hygienic and beauty care for human beings etc.,770,19
2014,Class 32: Beers; mineral and aerated waters and other non-alcoholic drinks etc.,745,20
2014,Class 28: Games and playthings; gymnastic and sporting articles etc.,713,21
2014,"Class 10: Surgical, medical, dental and veterinary apparatus and instruments, artificial limbs etc.",710,22
2014,Class 39: Transport; packaging and storage of goods; travel arrangement,700,23
2014,"Class 12: Vehicles; apparatus for locomotion by land, air or water",657,24
2014,Class 1: Chemicals used in industry etc.,630,25
2014,Class 33: Alcoholic beverages (except beers) etc.,624,26
